,address,postcode,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,balcony,garden,energielabel,url,garden_size,Rental agreement,Deposit,Income requirement,Maximum number of residents,Duration,postcode_beginning,price_pm,energie_class
0,Hickorylaan 70,3545 CT,1541,6500.0,135.0,4.0,2.0,2.0,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42813359-hickorylaan-70/,,,,,,,3545,11.414814814814815,4.0
1,Henriëtte Roland Holststraat 19,3511 MT,1595,,70.0,3.0,2.0,,False,False,B,https://www.funda.nl/huur/utrecht/appartement-88343505-henriette-roland-holststraat-19/,,,,,,,3511,22.785714285714285,5.0
2,CAB-rondom 135,3534 BJ,927,,74.0,2.0,1.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42991027-cab-rondom-135/,,,,,,,3534,12.527027027027026,4.0
3,Hickorylaan 258,3545 CT,1329,6500.0,108.0,4.0,2.0,,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42814467-hickorylaan-258/,,,,,,,3545,12.305555555555555,4.0
4,Tannhäuserdreef 274,3561 HR,1450,6300.0,80.0,4.0,3.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88228309-tannhauserdreef-274/,,,,,,,3561,18.125,7.0
5,Tannhäuserdreef 316,3561 HS,1450,6300.0,80.0,4.0,3.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88214220-tannhauserdreef-316/,,,,,,,3561,18.125,7.0
6,CAB-rondom 159,3534 BJ,1610,,110.0,3.0,2.0,3.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992057-cab-rondom-159/,,,,,,,3534,14.636363636363637,4.0
7,Catharijnesingel 74 C,3511 GM,1600,25000.0,32.0,2.0,1.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88332938-catharijnesingel-74-c/,,,,,,,3511,50.0,10.0
8,Faustdreef 411,3561 LN,1395,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88182284-faustdreef-411/,,,,,,,3561,17.4375,8.0
9,Hickorylaan 346,3545 CT,1302,6500.0,104.0,3.0,2.0,2.0,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42813353-hickorylaan-346/,,,,,,,3545,12.51923076923077,4.0
10,Marshalllaan 326,3527 TV,1395,4500.0,78.0,3.0,2.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88264183-marshalllaan-326/,,,,,,,3527,17.884615384615383,7.0
11,Tannhäuserdreef 330,3561 HT,1450,6300.0,80.0,4.0,3.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88226167-tannhauserdreef-330/,,,,,,,3561,18.125,7.0
12,Abel Tasmanstraat 23 A,3531 GS,1250,,67.0,3.0,1.0,,True,False,B,https://www.funda.nl/huur/utrecht/appartement-42997041-abel-tasmanstraat-23-a/,,,,,,,3531,18.65671641791045,5.0
13,Breedstraat 28,3512 TX,1400,,48.0,2.0,1.0,,False,False,C,https://www.funda.nl/huur/utrecht/appartement-88338588-breedstraat-28/,,,,,,,3512,29.166666666666668,6.0
14,Marshalllaan 311,3527 TH,1450,4500.0,78.0,3.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88293463-marshalllaan-311/,,,,,,,3527,18.58974358974359,10.0
15,Twellosebeeklaan 113,3521 DR,1525,,80.0,3.0,2.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42837941-twellosebeeklaan-113/,,,,,,,3521,19.0625,
16,Hickorylaan 266,3545 CT,1169,6500.0,82.0,3.0,2.0,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42814562-hickorylaan-266/,,,,,,,3545,14.25609756097561,4.0
17,Moreelsehoek 190,3511 EZ,1096,8000.0,122.0,3.0,,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42847502-moreelsehoek-190/,,,,,,,3511,8.98360655737705,
18,Trumanhof 23,3527 CZ,1310,1300.0,85.0,4.0,3.0,2.0,False,True,A,https://www.funda.nl/huur/utrecht/huis-42988207-trumanhof-23/,43.0,,,,,,3527,15.411764705882353,4.0
19,Marshalllaan 338,3527 TV,1450,4500.0,78.0,3.0,2.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88333226-marshalllaan-338/,,,,,,,3527,18.58974358974359,7.0
20,Faustdreef 333,3561 LK,1450,6300.0,80.0,4.0,3.0,,False,False,F,https://www.funda.nl/huur/utrecht/appartement-88245541-faustdreef-333/,,,,,,,3561,18.125,9.0
21,Wijde Doelen 6,3512 XN,1495,,84.0,3.0,2.0,,False,False,F,https://www.funda.nl/huur/utrecht/huis-88353388-wijde-doelen-6/,,,,,,,3512,17.797619047619047,9.0
22,Visarendhof,3582 DR,140,,,,,,False,False,,https://www.funda.nl/huur/utrecht/parkeergelegenheid-42821104-visarendhof/,,,,,,,3582,,
23,Twellosebeeklaan 115,3521 DR,1040,,47.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989620-twellosebeeklaan-115/,,,,,,,3521,22.127659574468087,4.0
24,Dirkje Mariastraat 17,3551 SK,1325,,50.0,2.0,1.0,2.0,False,True,G,https://www.funda.nl/huur/utrecht/appartement-42964133-dirkje-mariastraat-17/,14.0,,,,,,3551,26.5,10.0
25,Hickorylaan 364,3545 CT,1254,6500.0,98.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813357-hickorylaan-364/,,,,,,,3545,12.795918367346939,4.0
26,Faustdreef 439,3561 LP,1450,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88245559-faustdreef-439/,,,,,,,3561,18.125,8.0
27,Twellosebeeklaan 193,3521 DR,1150,,52.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989624-twellosebeeklaan-193/,,,,,,,3521,22.115384615384617,4.0
28,Hickorylaan 78,3545 CT,1329,6500.0,108.0,4.0,2.0,,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42814667-hickorylaan-78/,,,,,,,3545,12.305555555555555,4.0
29,Twellosebeeklaan 293,3521 DR,1070,,50.0,2.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989611-twellosebeeklaan-293/,,,,,,,3521,21.4,4.0
30,Twellosebeeklaan 237,3521 DR,1500,,80.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989623-twellosebeeklaan-237/,,,,,,,3521,18.75,4.0
31,Hickorylaan 92,3545 CT,1181,6500.0,81.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814566-hickorylaan-92/,,,,,,,3545,14.580246913580247,4.0
32,Marshalllaan 335,3527 TJ,1395,4500.0,78.0,3.0,2.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88266293-marshalllaan-335/,,,,,,,3527,17.884615384615383,8.0
33,Hickorylaan 348,3545 CT,1181,6500.0,81.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814665-hickorylaan-348/,,,,,,,3545,14.580246913580247,4.0
34,Twellosebeeklaan 315,3521 DR,1070,,49.0,2.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989629-twellosebeeklaan-315/,,,,,,,3521,21.836734693877553,4.0
35,Hickorylaan 108,3545 CT,1264,6500.0,98.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813337-hickorylaan-108/,,,,,,,3545,12.89795918367347,4.0
